"strong","lemma","gloss","freq","vu","updatedAt"
"G0953","βεβηλόω","profaner, désacraliser, souiller","2","false","null"
"G0954","Βεελζεβούλ","Beelzébul = «seigneur de la maison»","7","false","null"
"G0955","Βελίαλ","Bélial = «indignité, méchanceté, impiété»","1","false","null"
"G0956","βέλος","celui qui s’est souillé avec des abominations, abominable, dépravé","1","false","null"
"G0957","βελτίων","mieux","1","false","null"
"G0958","Βενιαμίν","Benjamin = «fils de la main droite»","4","false","null"
"G0959","Βερνίκη","Bérénice = «remportant la victoire, victorieuse»","3","false","null"
"G0960","Βέροια","Bérée = «bien arrosée»","2","false","null"
"G0961","Βεροιαῖος","de Bérée, de bérée, habitant de bérée","1","false","null"
"G0963","Βηθανία","Béthanie = «maison des dattes non mûres»","12","false","null"
"G0965","Βηθλεέμ","Bethléhem = «maison du pain»","8","false","null"
"G0966","Βηθσαϊδά","Bethsaïda = «maison de la pêche»","7","false","null"
"G0967","Βηθφαγή","Bethphagé = «maison des figues pas mûres»","3","false","null"
"G0968","βῆμα","estrade; endroit où poser le pied; tribunal","12","false","null"
"G0969","βήρυλλος","béril, béryl, béril, béryl, verte ou bleue","1","false","null"
"G0970","βία","violence, force, virulence","3","false","null"
"G0971","βιάζω","prendre par violence; (moyen) entrer de force","2","false","null"
"G0972","βίαιος","violent, très fort, impétueux","1","false","null"
"G0973","βιαστής","personne violente, qui est énergique","1","false","null"
"G0974","βιβλαρίδιον","petit livre, petit document écrit","3","false","null"
"G0975","βιβλίον","livre, rouleau","34","true","2024-11-01 08:15:49.825"
"G0976","βίβλος","livre, volume, ouvrage","10","false","null"
"G0977","βιβρώσκω","manger avec avidité, dévorer","1","false","null"
"G0978","Βιθυνία","Bithynie = «une précipitation violente»","2","false","null"
"G0979","βίος","bien; subsistance; vie","10","false","null"
"G0980","βιόω","vivre, passer sa vie","1","false","null"
"G0981","βίωσις","manière de vivre, façon de vivre, comportement","1","false","null"
"G0982","βιωτικός","affaires de cette vie","3","false","null"
"G0983","βλαβερός","pernicieux, nuisible, nocif","1","false","null"
"G0984","βλάπτω","nuire, faire mal, blesser","1","false","null"
"G0985","βλαστάνω","bourgeonner, produire des bourgeons, germer","4","false","null"
"G0986","Βλάστος","Blaste = «pousse, rejeton»","1","false","null"
"G0987","βλασφημέω","blasphémer","34","true","2024-11-01 08:15:49.825"
"G0988","βλασφημία","blasphème; injure; parole injurieuse","18","false","null"
"G0989","βλάσφημος","blasphémateur; blasphématoire","4","false","null"
"G0990","βλέμμα","vue, vision","1","false","null"
"G0991","βλέπω","voir, discerner","132","true","2024-11-01 08:15:49.825"
"G0992","βλητέον","qui est à mettre dans, qu’il faut verser","1","false","null"
"G0993","Βοανεργές","Boanergès = «fils du tonnerre»","1","false","null"
"G0994","βοάω","crier, s'écrier","12","true","2024-11-01 08:15:49.825"
"G0995","βοή","cri, clameur","1","false","null"
"G0996","βοήθεια","secours, aide, mesure de sûreté, dispositif de secours","2","false","null"
"G0997","βοηθέω","aider, secourir, venir en aide, assister","8","false","null"
"G0998","βοηθός","aide","1","false","null"
"G0999","βόθυνος","fosse, fossé","3","false","null"
"G1000","βολή","jet, lancer","1","false","null"
"G1001","βολίζω","jeter la sonde","2","false","null"
"G1003","Βοόζ","Boaz = «en lui est la force»","3","false","null"
"G1004","βόρβορος","bourbier, fange","1","false","null"
"G1005","βορρᾶς","nord, opposé au sud","2","false","null"
"G1006","βόσκω","faire paître; (passif) paître","9","false","null"
"G1007","Βοσόρ","Bosor = «brûlant, flambeau»","1","false","null"
"G1008","βοτάνη","herbe, végétation, plante","1","false","null"
"G1009","βότρυς","grappe, assemblage de fruits","1","false","null"
"G1010","βουλευτής","conseiller","2","false","null"
"G1011","βουλεύω","(moyen) résoudre; (moyen) former un projet; (moyen) se demander","6","false","null"
"G1012","βουλή","conseil, avis, dessein, plan, conseil, avis, dessein, plan","12","false","null"
"G1013","βούλημα","dessein, volonté, plan","3","false","null"
"G1014","βούλομαι","souhaiter, vouloir","37","true","2024-11-01 08:15:49.825"
"G1015","βουνός","colline, élévation de terrain, petite montagne, coteau","2","false","null"
"G1016","βοῦς","bœuf, mammifère ruminant domestique, mâle ou femelle","8","false","null"
"G1017","βραβεῖον","prix","2","true","2024-11-01 08:15:49.825"
"G1018","βραβεύω","présider, régner, dominer","1","false","null"
"G1019","βραδύνω","tarder, être lent, être retardé","2","false","null"
"G1020","βραδυπλοέω","naviguer lentement","1","false","null"
"G1021","βραδύς","lent","3","true","2024-11-01 08:15:49.825"
"G1022","βραδύτης","retardement","1","false","null"
"G1023","βραχίων","bras","3","false","null"
"G1024","βραχύς","pour un peu de temps, pour un instant","7","false","null"
"G1025","βρέφος","enfant, nouveau-né, jeune enfant, enfance","8","false","null"
"G1026","βρέχω","pleuvoir; envoyer la pluie; arroser","7","false","null"
"G1027","βροντή","tonnerre","12","false","null"
"G1028","βροχή","pluie, parfois abondamment","2","false","null"
"G1029","βρόχος","piège, restriction, contrainte","1","true","2024-11-01 08:15:49.825"
"G1030","βρυγμός","grincement","7","false","null"
"G1031","βρύχω","grincer","1","false","null"
"G1032","βρύω","jaillir, faire sourdre, faire couler","1","false","null"
"G1033","βρῶμα","viande; vivres","17","false","null"
"G1034","βρώσιμος","à manger, mangeable","1","false","null"
"G1035","βρῶσις","aliment; manger; plat; viande; rouille","11","false","null"
"G1036","βυθίζω","enfoncer, couler, sombrer, plonger","2","false","null"
"G1037","βυθός","profondeur de la mer, abîme, mer profonde","1","false","null"
"G1038","βυρσεύς","corroyeur, tanneur","3","false","null"
"G1039","βύσσινος","de fin lin","5","false","null"
"G1040","βύσσος","fin lin","1","true","2024-11-01 08:15:49.825"
"G1041","βωμός","autel","1","false","null"
"G1042","γαββαθά","Gabbatha = «tertre, crête, colline»","1","false","null"
"G1043","Γαβριήλ","Gabriel = «homme de Dieu»","2","false","null"
"G1044","γάγγραινα","gangrène","1","true","2024-11-01 08:15:49.825"
"G1045","Γάδ","Gad = «troupe»","1","false","null"
"G1046","Γαδαρηνός","Géraséniens ou Gadaréniens = «récompensé à la fin»","1","true","2024-11-01 08:15:49.825"
"G1047","γάζα","trésor, richesses","1","false","null"
"G1048","Γάζα","Gaza = «lieu fortifié, le fort»","1","false","null"
"G1049","γαζοφυλάκιον","tronc, trésor","5","true","2024-11-01 08:15:49.825"
"G1050","Γάϊος","Gaïus = «seigneur»","5","false","null"
"G1051","γάλα","lait","5","true","2024-11-01 08:15:49.825"
"G1052","Γαλάτης","Galate","1","false","null"
"G1053","Γαλατία","Galatie = «territoire des Gaulois, Gaule»","4","false","null"
"G1054","Γαλατικός","de Galatie, de galatie","2","false","null"
"G1055","γαλήνη","calme, tranquillité","3","false","null"
"G1056","Γαλιλαία","Galilée = «Circuit»","61","true","2024-11-01 08:15:49.825"
"G1057","Γαλιλαῖος","Galiléen","11","false","null"
"G1058","Γαλλίων","Gallion = «Celui qui vit du lait»","3","false","null"
"G1059","Γαμαλιήλ","Gamaliel = «récompense de Dieu»","2","false","null"
"G1060","γαμέω","se marier, épouser","29","true","2024-11-01 08:15:49.825"
"G1061","γαμίσκω","donner en mariage, marier ses enfants","8","false","null"
"G1062","γάμος","mariage; noce","16","false","null"
"G1063","γάρ","car, parce que, en effet","1039","true","2024-11-01 08:15:49.825"
"G1064","γαστήρ","ventre; état de grossesse","9","false","null"
"G1065","γέ","(particule enclitique) néanmoins, vraiment, sans doute; pourtant, du moins","26","true","2024-11-01 08:15:49.825"
"G1066","Γεδεών","Gédéon = «celui qui coupe, qui fait tomber»","1","false","null"
"G1067","γέεννα","géhenne, enfer","12","true","2024-11-01 08:15:49.825"
"G1068","Γεθσημανῆ","Gethsémané = «pressoir à huile»","2","false","null"
"G1069","γείτων","voisin","4","false","null"
"G1070","γελάω","rire, exprimer sa joie, sa satisfaction","2","false","null"
"G1071","γέλως","rire, de la satisfaction","1","false","null"
"G1072","γεμίζω","remplir, rendre plein, charger complètement","8","false","null"
"G1073","γέμω","être plein, être rempli","11","false","null"
"G1074","γενεά","génération, race","43","true","2024-11-01 08:15:49.825"
"G1075","γενεαλογέω","(passif) tirer généalogiquement son origine, descendre généalogiquement de","1","false","null"
"G1076","γενεαλογία","généalogie, d’une famille","2","false","null"
"G1077","γενέσια","anniversaire de naissance","2","false","null"
"G1078","γένεσις","généalogie, descendance, lignée, nature","5","false","null"
"G1079","γενετή","naissance, venue au monde","1","false","null"
"G1080","γεννάω","concevoir; enfanter; (passif) naître","97","false","null"
"G1081","γέννημα","fruit; produit; race","4","false","null"
"G1082","Γεννησαρέτ","Génésareth = «une harpe»","3","false","null"
"G1084","γεννητός","né, engendré","2","false","null"
"G1085","γένος","espèce, sorte, origine, famille, race","20","true","2024-11-01 08:15:49.825"
"G1086","Γεργεσηνός","Gérasénien, Gersénien, gérasénien, gersénien","3","false","null"
"G1087","γερουσία","anciens, conseil d’hommes juifs","1","false","null"
"G1088","γέρων","vieux, ancien","1","false","null"
"G1089","γεύω","goûter, manger, mourir, voir, souffrir","15","true","2024-11-01 08:15:49.825"
"G1090","γεωργέω","labourer, cultiver, retourner la terre","1","false","null"
"G1091","γεώργιον","labourage","1","false","null"
"G1092","γεωργός","cultivateur, laboureur, vigneron","19","false","null"
"G1093","γῆ","terre, pays, peuple, contrée, lieu","247","true","2024-11-01 08:15:49.825"
"G1094","γῆρας","vieillesse, âge avancé","1","false","null"
"G1095","γηράσκω","devenir vieux, devenir âgé, vieillir","2","false","null"
"G1096","γίνομαι","devenir","662","true","2024-11-01 08:15:49.825"
"G1097","γινώσκω","connaître, savoir","218","true","2024-11-01 08:15:49.825"
"G1098","γλεῦκος","vin doux","1","false","null"
"G1099","γλυκύς","doux, sucré","4","false","null"
"G1100","γλῶσσα","langue, langage","50","true","2024-11-01 08:15:49.825"
"G1101","γλωσσόκομον","bourse","2","false","null"
"G1102","γναφεύς","foulon","1","true","2024-11-01 08:15:49.825"
"G1103","γνήσιος","véritable; vrai; sincérité","4","false","null"
"G1104","γνησίως","sincèrement, véritablement, fidèlement","1","false","null"
"G1105","γνόφος","obscurité, nuage épais","1","false","null"
"G1106","γνώμη","avis; opinion; pensée","9","false","null"
"G1107","γνωρίζω","faire connaître, savoir, obtenir la connaissance","25","true","2024-11-01 08:15:49.825"
"G1108","γνῶσις","connaissance","29","true","2024-11-01 08:15:49.825"
"G1109","γνώστης","connaisseur, celui qui connaît, expert","1","false","null"
"G1110","γνωστός","ce que l’on peut connaître; familier; notoire","15","false","null"
"G1111","γογγύζω","murmurer, grommeler, exprimer son mécontentement","8","false","null"
"G1112","γογγυσμός","murmure, chuchotement, rumeur","4","false","null"
"G1113","γογγυστής","murmurateur","1","false","null"
"G1114","γόης","imposteur, qui triche","1","false","null"
"G1115","Γολγοθᾶ","Golgotha = «crâne»","3","false","null"
"G1116","Γόμορρα","Gomorrhe = «submersion»","4","false","null"
"G1117","γόμος","marchandise, cargaison, chargement","3","false","null"
"G1118","γονεύς","parent","20","false","null"
"G1119","γόνυ","genou","12","false","null"
"G1120","γονυπετέω","se jeter à genoux, fléchir les genoux, tomber à genoux, s’agenouiller","4","false","null"
"G1121","γράμμα","lettre; écrit","14","false","null"
"G1122","γραμματεύς","scribe, secrétaire","62","true","2024-11-01 08:15:49.825"
"G1123","γραπτός","qui est écrit","1","false","null"
"G1124","γραφή","écrit, écriture","50","true","2024-11-01 08:15:49.825"
"G1125","γράφω","écrire","190","true","2024-11-01 08:15:49.825"
"G1126","γραώδης","de vieilles femmes","1","false","null"
"G1127","γρηγορέω","veiller","23","true","2024-11-01 08:15:49.825"
"G1128","γυμνάζω","exercer, entraîner","4","false","null"
"G1129","γυμνασία","exercice, entraînement, gymnastique","1","false","null"
"G1130","γυμνητεύω","être nu","1","false","null"
"G1131","γυμνός","nu, dévêtu, sans vêtement, simple","15","false","null"
"G1132","γυμνότης","nudité, privation du nécessaire","3","false","null"
"G1133","γυναικάριον","femmelette","1","false","null"
"G1134","γυναικεῖος","féminin","1","false","null"
"G1135","γυνή","femme, épouse","211","false","null"
"G1136","Γώγ","Gog = «montagne»","1","false","null"
"G1137","γωνία","coin; secret","9","false","null"
"G1138","Δαυείδ","David","59","true","2024-11-01 08:15:49.825"
"G1139","δαιμονίζομαι","être sous la puissance d'un démon","13","true","2024-11-01 08:15:49.825"
"G1140","δαιμόνιον","démon","63","true","2024-11-01 08:15:49.825"
"G1141","δαιμονιώδης","diabolique","1","false","null"
"G1142","δαίμων","un démon, un mauvais esprit","1","true","2024-11-01 08:15:49.825"
"G1143","δάκνω","mordre","1","true","2024-11-01 08:15:49.825"
"G1144","δάκρυ","larme","10","false","null"
"G1145","δακρύω","pleurer","1","false","null"
"G1146","δακτύλιος","anneau, petit cercle","1","false","null"
"G1147","δάκτυλος","doigt","7","false","null"
"G1148","Δαλμανουθά","Dalmanutha = «tison»","1","false","null"
"G1149","Δαλματία","Dalmatie = «lampes trompeuses et vaines»","1","false","null"
"G1150","δαμάζω","dompter, maîtriser, contrôler, soumettre","4","false","null"
"G1151","δάμαλις","génisse, jeune vache, taure","1","false","null"
"G1152","Δάμαρις","Damaris = «une génisse»","1","false","null"
"G1153","Δαμασκηνός","Damascénien, habitant de damas","1","false","null"
"G1154","Δαμασκός","Damas","15","true","2024-12-16 09:55:16"
"G1155","δανείζω","prêter; (moyen) emprunter","4","false","null"
"G1156","δάνειον","dette","1","false","null"
"G1157","δανειστής","créancier","1","false","null"
"G1158","Δανιήλ","Daniel = «jugement de Dieu»","1","false","null"
"G1159","δαπανάω","dépenser","5","false","null"
"G1160","δαπάνη","dépense, coût, frais","1","false","null"
"G1161","δέ","et, mais","2771","true","2024-11-01 08:15:49.825"
"G1162","δέησις","supplication; prière","18","false","null"
"G1163","δεῖ","il faut, il est nécessaire","102","true","2024-11-01 08:15:49.825"
"G1164","δεῖγμα","exemple, modèle servant d’avertissement","1","false","null"
"G1165","δειγματίζω","faire un exemple, diffamer, produire","2","false","null"
"G1166","δεικνύω","montrer","33","true","2024-11-01 08:15:49.825"
"G1167","δειλία","crainte, timidité, réticence","1","false","null"
"G1168","δειλιάω","être craintif, être timide, être peureux","1","false","null"
"G1169","δειλός","timide, qui manque d’assurance, craintif, lâche","3","false","null"
"G1170","δεῖνα","un tel","1","true","2024-11-01 08:15:49.825"
"G1171","δεινῶς","fortement, avec véhémence, violemment, horriblement","2","false","null"
"G1172","δειπνέω","souper","4","false","null"
"G1173","δεῖπνον","souper; banquet; cène","16","false","null"
"G1174","δεισιδαίμων","voué au culte des démons, très religieux, superstitieux","1","false","null"
"G1175","δεισιδαιμονία","culte religieux, religion","1","false","null"
"G1176","δέκα","dix","27","false","null"
"G1178","δεκαπέντε","quinze","3","false","null"
"G1179","Δεκάπολις","Décapole = «ligue de dix villes»","3","false","null"
"G1180","δεκατέσσαρες","quatorze","5","false","null"
"G1182","δέκατος","dixième","7","false","null"
"G1183","δεκατόω","dîmer; (passif) payer la dîme","2","false","null"
"G1184","δεκτός","agréé; agréable; favorable; reçu","5","false","null"
"G1185","δελεάζω","amorcer, appâter","3","true","2024-11-01 08:15:49.825"
"G1186","δένδρον","arbre","25","true","2024-11-01 08:15:49.825"
"G1187","δεξιολάβος","porte-lance","1","false","null"
"G1188","δεξιός","la droite, la main droite","54","true","2024-11-01 08:15:49.825"
"G1189","δέομαι","demander; prier","22","false","null"
"G1190","Δερβαῖος","de Derbe, de derbe, originaire de derbe","1","false","null"
"G1191","Δέρβη","Derbe = «tanneur: tanneur de peau: celui qui recouvre de peau»","3","false","null"
"G1192","δέρμα","peau","1","false","null"
"G1193","δερμάτινος","de cuir","2","false","null"
"G1194","δέρω","battre, frapper, maltraiter, châtier durement","15","false","null"
"G1195","δεσμεύω","lier, enchaîner","3","false","null"
"G1197","δέσμη","botte, gerbe","1","false","null"
"G1198","δέσμιος","prisonnier","16","false","null"
"G1199","δεσμός","chaîne; lien","18","false","null"
"G1200","δεσμοφύλαξ","geôlier, gardien de prison","3","false","null"
"G1201","δεσμωτήριον","prison","4","false","null"
"G1202","δεσμώτης","prisonnier","2","false","null"
"G1203","δεσπότης","maître; seigneur; souverain","10","false","null"
"G1204","δεῦρο","à présent, maintenant, ici","9","false","null"
"G1205","δεῦτε","venez!","12","false","null"
"G1206","δευτεραῖος","deuxième jour, second jour, surlendemain","1","false","null"
"G1208","δεύτερος","second; seconde fois","43","false","null"
"G1209","δέχομαι","recevoir","56","true","2024-11-01 08:15:49.825"
"G1210","δέω","lier, attacher","44","true","2024-11-01 08:15:49.825"
"G1211","δή","évidemment, bien sûr","6","false","null"
"G1212","δῆλος","évident, certain, manifeste","3","false","null"
"G1213","δηλόω","faire connaître; indiquer","7","false","null"
"G1214","Δημᾶς","Démas = «gouverneur du peuple»","3","false","null"
"G1215","δημηγορέω","haranguer","1","false","null"
"G1216","Δημήτριος","Démétrius = «qui appartient à Déméter»","3","false","null"
"G1217","δημιουργός","créateur, artisan, fabricateur, constructeur public","1","false","null"
"G1218","δῆμος","peuple, foule","4","false","null"
"G1219","δημόσιος","publiquement","4","false","null"
"G1220","δηνάριον","denier = «contenant dix»","16","false","null"
"G1223","διά","à cause de; par le moyen de; en faveur de; au bout de","666","false","null"
"G1224","διαβαίνω","traverser, marcher à travers, passer","3","false","null"
"G1225","διαβάλλω","accuser","1","false","null"
"G1226","διαβεβαιόω","insister, affirmer fortement","2","false","null"
"G1227","διαβλέπω","voir clair, regarder distinctement","3","false","null"
"G1228","διάβολος","diable = «calomniateur»","37","true","2024-11-01 08:15:49.825"
"G1229","διαγγέλλω","annoncer, publier, proclamer, faire savoir","3","false","null"
"G1230","διαγίνομαι","s’écouler, passer","3","false","null"
"G1231","διαγινώσκω","prendre connaissance; examiner","2","false","null"
"G1233","διάγνωσις","jugement, décision, examen","1","false","null"
"G1234","διαγογγύζω","murmurer, mais toujours péjorativement","2","false","null"
"G1235","διαγρηγορέω","éveiller, réveiller","1","false","null"
"G1236","διάγω","mener; vivre","2","false","null"
"G1237","διαδέχομαι","recevoir d’un autre, hériter","1","false","null"
"G1238","διάδημα","diadème","3","false","null"
"G1239","διαδίδωμι","distribuer; donner","4","false","null"
"G1240","διάδοχος","successeur","1","false","null"
"G1241","διαζώννυμι","ceindre","3","false","null"
"G1242","διαθήκη","alliance, testament","33","true","2024-11-01 08:15:49.825"
"G1243","διαίρεσις","diversité, variété, pluralité","3","false","null"
"G1244","διαιρέω","distribuer, diviser, partager","2","false","null"
"G1245","διακαθαρίζω","nettoyer entièrement, nettoyer complètement, purifier à fond","1","false","null"
"G1246","διακατελέγχομαι","réfuter","1","false","null"
"G1247","διακονέω","servir; assurer le service; assister; (passif) être rédigé par le ministère; employer","37","false","null"
"G1248","διακονία","service, ministère, secours","34","true","2024-11-01 08:15:49.825"
"G1249","διάκονος","ministre, serviteur, diacre, diaconesse","30","true","2024-11-01 08:15:49.825"
"G1250","διακόσιοι","deux cents","8","false","null"
"G1251","διακούω","entendre à fond","1","false","null"
"G1252","διακρίνω","juger; décider; discerner; faire une différence; disputer; (moyen et/ou passif) douter","19","false","null"
"G1253","διάκρισις","décision, critique, jugement, discernement","3","false","null"
"G1254","διακωλύω","empêcher fort, s’opposer vigoureusement","1","false","null"
"G1255","διαλαλέω","s’entretenir, parler, converser","2","false","null"
"G1256","διαλέγω","s’entretenir; discuter","13","false","null"
"G1257","διαλείπω","cesser, s’interrompre","1","false","null"
"G1258","διάλεκτος","langue, langage, dialecte, langage régional","6","false","null"
"G1259","διαλλάσσω","(moyen et/ou passif) réconcilier","1","false","null"
"G1260","διαλογίζομαι","argumenter, discuter","16","true","2024-11-01 08:15:49.825"
"G1261","διαλογισμός","pensée; raisonnement","14","false","null"
"G1262","διαλύω","dissoudre, éparpiller","1","false","null"
"G1263","διαμαρτύρομαι","affirmer; adjurer","15","false","null"
"G1264","διαμάχομαι","contester, contester énergiquement, protester avec force","1","false","null"
"G1265","διαμένω","demeurer, continuer, persévérer","5","false","null"
"G1266","διαμερίζω","diviser; distribuer; (moyen) partager entre soi","11","false","null"
"G1267","διαμερισμός","division, dissension, discorde","1","false","null"
"G1268","διανέμω","répandre, distribuer, disséminer","1","false","null"
"G1269","διανεύω","faire des signes","1","false","null"
"G1270","διανόημα","pensée, réflexion, machination","1","false","null"
"G1271","διάνοια","pensée, coeur, intelligence, esprit, entendement","12","true","2024-11-01 08:15:49.825"
"G1272","διανοίγω","ouvrir; expliquer","8","false","null"
"G1273","διανυκτερεύω","passer toute la nuit","1","false","null"
"G1274","διανύω","achever, mener à terme","1","false","null"
"G1276","διαπεράω","passer; passer à l’autre rive; traverser; repasser","6","false","null"
"G1277","διαπλέω","traverser, naviguer sur","1","false","null"
"G1278","διαπονέω","(moyen et/ou passif) être mécontent, supporter avec peine, être peiné, être affligé","2","false","null"
"G1279","διαπορεύω","traverser, passer, passer à travers","5","false","null"
"G1280","διαπορέω","être perplexe","4","false","null"
"G1281","διαπραγματεύομαι","gagner par son trafic","1","false","null"
"G1282","διαπρίω","frémir de rage, être vexé, exaspéré, furieux","2","false","null"
"G1283","διαρπάζω","piller, dépouiller, prendre de force","3","false","null"
"G1284","διαρρήγνυμι","(passif) se rompre, se déchirer, éclater","5","false","null"
"G1285","διασαφέω","informer, expliquer, déclarer, raconter","2","false","null"
"G1286","διασείω","extorquer","1","true","2024-11-01 08:15:49.825"
"G1287","διασκορπίζω","disperser; dissiper; répandre","9","false","null"
"G1288","διασπάω","mettre en pièces, rompre, briser","2","false","null"
"G1289","διασπείρω","disperser, disséminer","3","false","null"
"G1290","διασπορά","dispersion, dissémination, diaspora","3","false","null"
"G1291","διαστέλλω","(moyen) enjoindre, commander expressément, ordonner, donner un ordre","8","false","null"
"G1292","διάστημα","intervalle, traduit par après, plus tard","1","false","null"
"G1293","διαστολή","différence, distinction, discrimination","3","false","null"
"G1294","διαστρέφω","détourner; pervertir; (passif) être perverti","7","false","null"
"G1295","διασῴζω","sauver; guérir complètement; (passif) parvenir saint et sauf; conduire sain et sauf","8","false","null"
"G1296","διαταγή","disposition, commandement, intermédiaire, ordonnance, ministère","2","false","null"
"G1297","διάταγμα","ordonnance, ordre, commandement","1","false","null"
"G1298","διαταράσσω","troubler, boulverser","1","false","null"
"G1299","διατάσσω","ordonner, prescrire, commander; (moyen) régler, résoudre","16","true","2024-11-01 08:15:49.825"
"G1300","διατελέω","rester, continuer","1","false","null"
"G1301","διατηρέω","se garder, éviter avec soin, conserver","2","false","null"
"G1303","διατίθημι","conférer","7","false","null"
"G1304","διατρίβω","séjourner","9","false","null"
"G1305","διατροφή","nourriture, entretien, subsistance","1","false","null"
"G1306","διαυγάζω","commencer à luire, apparaître, poindre","1","false","null"
"G1308","διαφέρω","porter; ballotter; répandre; (participe) être excellent; différer; importer; valoir mieux","13","false","null"
"G1309","διαφεύγω","s’enfuir, s’échapper","1","false","null"
"G1310","διαφημίζω","répandre, proclamer, faire connaître partout, divulguer","3","false","null"
"G1311","διαφθείρω","corrompre; détruire","6","false","null"
"G1312","διαφθορά","corruption, destruction","6","true","2024-11-01 08:15:49.825"
"G1313","διάφορος","plus excellent, plus différent, qui se distingue","4","false","null"
"G1314","διαφυλάσσω","garder, surveiller de près, protéger","1","false","null"
"G1315","διαχειρίζω","(moyen) faire mourir, tuer","2","false","null"
"G1316","διαχωρίζω","séparer, quitter, s’en aller","1","false","null"
"G1317","διδακτικός","propre à enseigner","2","false","null"
"G1318","διδακτός","enseigné, instruit","3","false","null"
"G1319","διδασκαλία","doctrine; enseignement; instruction","21","false","null"
"G1320","διδάσκαλος","professeur, enseignant","58","true","2024-11-01 08:15:49.825"
"G1321","διδάσκω","(+A) enseigner, instruire","96","true","2024-11-01 08:15:49.825"
"G1322","διδαχή","enseignement","30","true","2024-11-01 08:15:49.825"
"G1323","δίδραχμος","didrachme","2","false","null"
"G1324","Δίδυμος","Didyme = «deux, jumeaux»","3","false","null"
"G1325","δίδωμι","donner; mettre; communiquer; payer; prononcer; offrir; laisser; jeter; montrer; produire; exercer; permettre","409","false","null"
"G1326","διεγείρω","réveiller; élever","6","false","null"
"G1327","διέξοδος","carrefour","1","false","null"
"G1328","διερμηνευτής","interprète","1","false","null"
"G1329","διερμηνεύω","expliquer, interpréter, faire comprendre","6","false","null"
"G1330","διέρχομαι","passer à travers","41","true","2024-11-01 08:15:49.825"
"G1331","διερωτάω","s’enquérir, demander","1","false","null"
"G1332","διετής","l’âge de deux ans","1","false","null"
"G1333","διετία","deux ans","2","false","null"
"G1334","διηγέομαι","raconter, parler en détail, décrire","8","false","null"
"G1335","διήγησις","récit, narration, histoire","1","false","null"
"G1336","διηνεκής","permanent, perpétuel, perpétuité, continuellement","4","false","null"
"G1337","διθάλασσος","baigné des deux côtés par la mer","1","false","null"
"G1338","διϊκνέομαι","atteindre, pénétrer","1","false","null"
"G1339","διΐστημι","passer plus loin, s’éloigner, séparer, mettre à part","3","false","null"
"G1340","διϊσχυρίζομαι","affirmer, insister, affirmer avec force","2","false","null"
"G1341","δικαιοκρισία","juste jugement","1","false","null"
"G1342","δίκαιος","juste","80","true","2024-11-01 08:15:49.825"
"G1343","δικαιοσύνη","justice","92","true","2024-11-01 08:15:49.825"
"G1344","δικαιόω","justifier","39","true","2024-11-01 08:15:49.825"
"G1345","δικαίωμα","juste sentence; justification; ordonnance; exigence","10","false","null"
"G1346","δικαίως","justement, légitimement","5","false","null"
"G1347","δικαίωσις","justification","2","false","null"
"G1348","δικαστής","juge","2","false","null"
"G1349","δίκη","châtiment; peine; condamnation; némésis","3","false","null"
"G1350","δίκτυον","filet de pêche","12","false","null"
"G1351","δίλογος","duplicité","1","true","2024-11-01 08:15:49.825"
"G1352","διό","c'est pourquoi","53","true","2024-11-01 08:15:49.825"
"G1353","διοδεύω","passer, traverser, faire route","2","false","null"
"G1354","Διονύσιος","Denys = «appartenant à Dyonisos, le dieu du vin»","1","false","null"
"G1355","διόπερ","c’est pourquoi, par conséquent","2","false","null"
"G1356","διοπετής","simulacre tombé du ciel","1","true","2024-11-01 08:15:49.825"
"G1357","διόρθωσις","redressement, rétablissement, rectification, réformation","2","false","null"
"G1358","διορύσσω","percer","2","false","null"
"G1359","Διόσκουροι","Dioscures = «les fils de Zeus»","1","false","null"
"G1360","διότι","à cause de ceci, parce que, car","23","true","2024-11-01 08:15:49.825"
"G1361","Διοτρεφής","Diotrèphe = «nourri par Zeus»","1","false","null"
"G1362","διπλοῦς","double","4","false","null"
"G1363","διπλόω","doubler","1","false","null"
"G1364","δίς","deux fois, deux occasions","7","false","null"
"G1365","διστάζω","douter","2","false","null"
"G1366","δίστομος","à deux tranchants","3","false","null"
"G1367","δισχίλιοι","deux mille","1","false","null"
"G1368","διϋλίζω","couler, filtrer complètement","1","false","null"
"G1369","διχάζω","jeter la division, séparer","1","false","null"
"G1370","διχοστασία","division, dissension, éloignement","2","false","null"
"G1371","διχοτομέω","couper en deux, châtier sévèrement, tailler en pièces","2","false","null"
"G1372","διψάω","avoir soif","16","true","2024-11-01 08:15:49.825"
"G1373","δίψος","soif","1","false","null"
"G1374","δίψυχος","incertain dans ses pensées, irrésolu, instable, double de cœur","2","false","null"
"G1375","διωγμός","persécution","10","false","null"
"G1376","διώκτης","persécuteur","1","false","null"
"G1377","διώκω","persécuter, courir, poursuivre, chercher, rechercher, exercer","45","true","2024-11-01 08:15:49.825"
"G1378","δόγμα","ordonnance","5","false","null"
"G1379","δογματίζω","(passif) se soumettre à des ordonnances, des doctrines","1","false","null"
"G1380","δοκέω","penser, sembler","62","true","2024-11-01 08:15:49.825"
"G1381","δοκιμάζω","discerner; essayer; approuver","22","false","null"
"G1382","δοκιμή","expérience; preuve","7","false","null"
"G1383","δοκίμιον","épreuve","2","false","null"
