strong,lemma,inflectionEndings,pos,gloss,freq,updatedAt
G2288,θάνατος,-οῦ,n. m.,la mort,120,2025-07-28T14:34:25.467Z
G2289,θανατόω,,vb.,mettre à mort ; faire mourir,11,
G2290,θάπτω,aor. pass. ἐτάφην,vb.,"ensevelir, enterrer",11,
G2291,Θάρα,,n. pr. m.,"Thara = «halte, délai, retard»",1,
G2292,θαρρέω,,vb.,"avoir confiance, avoir de l’assurance, user de hardiesse",6,
G2293,θαρσέω,,vb.,"avoir bon courage, être réconforté, avoir confiance",7,
G2294,θάρσος,-ους,n. n.,"courage, réconfort, confiance",1,
G2295,θαῦμα,-τος,n. n.,"étonnement, stupéfaction, surprise",2,
G2296,θαυμάζω,,vb.,"s'étonner, être dans l’admiration",43,2025-07-28T14:34:25.467Z
G2297,θαυμάσιος,"-α, -ον",adj.,"merveilleux, admirable, étonnant, extraordinaire",1,
G2298,θαυμαστός,"-ή, -όν",adj.,étonnant ; merveilleux,6,
G2299,θεά,-ᾶς,n. f.,"déesse, divinité féminine",1,
G2300,θεάομαι,,vb.,"voir, regarder",22,2024-11-01T08:15:49.825Z
G2301,θεατρίζω,,vb.,"offrir en spectacle, au mépris",1,
G2302,θέατρον,-ου,n. n.,"théâtre, aux représentations théâtrales, spectacle",3,
G2303,θεῖον,-ου,n. m.,soufre,7,
G2304,θεῖος,"-α, -ον",adj.,"La Divinité, divin",3,
G2305,θειότης,-ητος,n. f.,divinité,1,
G2306,θειώδης,-ες,adj.,de soufre,1,
G2307,θέλημα,-τος,n. n.,"la volonté, le choix, la décision",62,2025-07-28T14:37:14.570Z
G2308,θέλησις,-εως,n. f.,"volonté, bon vouloir, volonté, bon vouloir, désir",1,
G2309,θέλω,impf. ἤθελον,vb.,vouloir,208,2024-11-01T08:15:49.825Z
G2310,θεμέλιος,-ου,n. f.,fondement,16,2026-08-29T13:32:33.240Z
G2311,θεμελιόω,,vb.,"fonder, un fondement",5,
G2312,θεοδίδακτος,-ον,adj.,"enseigné de dieu, instruit par dieu",1,
G2314,θεομάχος,-ον,adj.,faisant la guerre à dieu,1,
G2315,θεόπνευστος,-ον,adj.,inspiré de dieu,1,
G2316,θεός,-οῦ,n. f.,Dieu,1311,2024-11-01T08:15:49.825Z
G2317,θεοσέβεια,-ας,n. f.,"service de dieu, crainte de dieu, piété",1,
G2318,θεοσεβής,-ές,adj.,pieux,1,
G2319,θεοστυγής,-ές,adj.,"haïssable pour dieu, odieux, abominable",1,
G2320,θεότης,-ητος,n. f.,"déité, dieu, sans restriction",1,
G2321,Θεόφιλος,-ου,n. pr. m.,Théophile = «aimé de Dieu»,2,
G2322,θεραπεία,-ας,n. f.,"guérison, cure",3,
G2323,θεραπεύω,,vb.,soigner,41,2024-11-01T08:15:49.825Z
G2324,θεράπων,-οντος,n. f.,serviteur,1,
G2325,θερίζω,,vb.,"moissonner, récolter",21,2024-11-01T08:15:49.825Z
G2326,θερισμός,-οῦ,n. f.,"moisson, récolte",13,
G2327,θεριστής,-οῦ,n. f.,moissonneur,2,
G2328,θερμαίνω,,vb.,chauffer,6,
G2329,θέρμη,-ης,n. f.,chaleur,1,
G2330,θέρος,-ους,n. m.,été,3,
G2331,Θεσσαλονικεύς,-έως,adj.,Thessalonicien,4,
G2332,Θεσσαλονίκη,-ης,n. pr. f.,Thessalonique = «victoire de ce qui est faux»,5,
G2333,Θευδᾶς,-ᾶ,n. pr. m.,Theudas = «Donné par Dieu»,1,
G2334,θεωρέω,,vb.,"regarder, voir, apercevoir, considérer",57,2024-11-01T08:15:49.825Z
G2335,θεωρία,-ας,n. f.,"spectacle, ce qu’ils voient, spectacle public",1,
G2336,θήκη,-ης,n. f.,fourreau,1,
G2337,θηλάζω,,vb.,allaiter,5,
G2338,θῆλυς,"-εια, -υ",adj.,"femelle, femme",5,
G2339,θήρα,-ας,n. f.,"piège, instrument pour attraper",1,
G2340,θηρεύω,,vb.,surprendre,1,2024-11-01T08:15:49.825Z
G2341,θηριομαχέω,,vb.,combattre contre les bêtes sauvages,1,
G2342,θηρίον,-ου,n. m.,"la bête, l'animal",45,2025-07-28T14:37:14.570Z
G2343,θησαυρίζω,,vb.,"accumuler, amasser, mettre en réserve, réserver",8,
G2344,θησαυρός,-οῦ,n. f.,"trésor, bien précieux",17,
G2345,θιγγάνω,aor. subj. θίγω,vb.,toucher,3,
G2346,θλίβω,pf. pass. ptc. τεθλιμμένος,vb.,presser ; resserrer ; affliger ; être dans la tribulation,10,
G2347,θλῖψις,-εως,n. f.,l'affliction ; la tribulation ; l'angoisse ; la détresse ; la pression,45,2025-07-28T14:37:14.570Z
G2348,θνῄσκω,pf. τέθνηκα,vb.,"être mort, être décédé",9,
G2349,θνητός,"-ή, -όν",adj.,"mortel, susceptible de mourir",6,
G2350,θορυβέω,,vb.,faire du tumulte ; troubler,5,
G2351,θόρυβος,-ου,n. m.,"tumulte, bruit, vacarme, agitation",7,
G2352,θραύω,,vb.,"opprimer, presser, briser",1,
G2353,θρέμμα,-τος,n. n.,un troupeau,1,2024-11-01T08:15:49.825Z
G2354,θρηνέω,,vb.,"chanter des complaintes, se lamenter, pleurer",4,
G2356,θρησκεία,-ας,n. f.,"culte, religion",4,
G2357,θρησκός,-όν,adj.,religieux,1,
G2358,θριαμβεύω,,vb.,mener en triomphe,2,
G2359,θρίξ,τριχός,n. f.,cheveu ; poil,15,
G2360,θροέομαι,,vb.,être alarmé,3,2026-08-29T15:16:25.068Z
G2361,θρόμβος,-ου,n. m.,"grumeau, grosse goutte, caillot",1,
G2362,θρόνος,-ου,n. m.,le trône,62,2025-07-28T14:44:53.456Z
G2363,Θυάτειρα,-ων,n. pr.,Thyatire = «odeur d’affliction»,4,
G2364,θυγάτηρ,-τρός,n. f.,la fille,27,2025-07-28T14:44:53.456Z
G2365,θυγάτριον,-ου,n. m.,"petite fille, jeune fille",2,
G2366,θύελλα,-ης,n. f.,"tempête, orage soudain, cyclone",1,
G2367,θύϊνος,"-η, -ον",adj.,senteur,1,2024-11-01T08:15:49.825Z
G2368,θυμίαμα,-τος,n. n.,"parfum, encens",6,
G2369,θυμιατήριον,-ου,n. m.,encensoir,1,
G2370,θυμιάω,,vb.,"offrir le parfum, brûler l’encens",1,
G2371,θυμομαχέω,,vb.,"être très irrité, être très fâché, être exaspéré",1,
G2372,θυμός,-οῦ,n. f.,colère ; indignation,18,2025-10-06T07:57:30.214Z
G2373,θυμόω,,vb.,"être en colère, être en fureur, être enragé",1,
G2374,θύρα,-ας,n. f.,la porte,39,2025-07-28T14:44:53.456Z
G2375,θυρεός,-οῦ,n. f.,bouclier,1,
G2376,θυρίς,-ίδος,n. f.,fenêtre,2,
G2377,θυρωρός,-οῦ,n. m./f.,"portier, portière",4,
G2378,θυσία,-ας,n. f.,"le sacrifice, la victime",28,2025-07-28T14:44:53.456Z
G2379,θυσιαστήριον,-ου,n. m.,l'autel,23,2025-07-28T14:44:53.456Z
G2380,θύω,aor. pass. ἐτύθην,vb.,sacrifier ; tuer,14,
G2381,Θωμᾶς,-ᾶ,n. pr. m.,Thomas = «un jumeau»,11,
G2382,θώραξ,-ακος,n. f.,cuirasse,5,
G2383,Ἰάειρος,-ου,n. pr. m.,Jaïrus = «celui que Dieu éclaire»,2,
G2384,Ἰακώβ,,n. pr. m.,"Jacob = «qui prend par le talon, ou qui supplante»",27,2024-11-01T08:15:49.825Z
G2385,Ἰάκωβος,-ου,n. pr. m.,Jacques = «qui supplante»,42,2024-11-01T08:15:49.825Z
G2386,ἴαμα,-τος,n. n.,don de grâce de guérison physique donné dans l’assemblée à son début,3,
G2387,Ἰαμβρῆς,Ἰαμβροῠ ?,n. pr. m.,"Jambrès = «guérisseur, écumeux comme la mer»",1,
G2388,Ἰαννά,,n. pr. m.,Jannaï = «florissant»,1,
G2389,Ἰαννῆς,Ἰάννου ?,n. pr. m.,"Jannès (Janna) = «qui parle, qui répond»",1,
G2390,ἰάομαι,,vb.,"soigner, guérir, raffermir, consolider",26,2024-11-01T08:15:49.825Z
G2391,Ἰάρεδ,,n. pr. m.,Jared = «qui descend»,1,
G2392,ἴασις,-εως,n. f.,"guérison, cure",3,
G2393,ἴασπις,-ιδος,n. f.,jaspe,4,
G2394,Ἰάσων,-ονος,n. pr. m.,Jason = «celui qui guérit»,5,
G2395,ἰατρός,-οῦ,n. f.,médecin,7,
G2396,ἴδε,,interj.,"voici, vois",30,
G2397,ἰδέα,,n. f.,"aspect extérieur, apparence, forme",1,
G2398,ἴδιος,"-α, -ον",adj.,propre (appartenance),113,2024-11-01T08:15:49.825Z
G2399,ἰδιώτης,-ου,n. m.,"homme simple, ignorante, illettrée, commun",5,
G2400,ἰδού,,interj.,"voici, voilà, regarde!",199,2024-11-01T08:15:49.825Z
G2401,Ἰδουμαία,-ας,n. pr. f.,Idumée = «appartenant à Édom»,1,
G2402,ἱδρώς,-ῶτος,n. f.,"sueur, transpiration",1,
G2403,Ἰεζαβήλ,,n. pr. f.,Jézabel = «chaste»,1,
G2404,Ἱεράπολις,-εως,n. pr. f.,"Hiérapolis = «ville sainte, sacrée»",1,
G2405,ἱερατεία,-ας,n. f.,"sacrificature, puis au temple",2,
G2406,ἱεράτευμα,-τος,n. n.,"sacrificature, puis au temple",2,
G2407,ἱερατεύω,,vb.,"exercer la sacrificature, puis au temple",1,
G2408,Ἱερεμίας,-ου,n. pr. m.,Jérémie = «celui que l’Éternel a nommé»,3,
G2409,ἱερεύς,-έως,n. f.,"le sacrificateur, le prêtre",30,2025-07-28T14:44:53.456Z
G2410,Ἱεριχώ,,n. pr.,Jéricho = «lieu de parfums»,7,
G2411,ἱερόν,,n. n.,le temple,70,2025-07-28T14:44:53.456Z
G2412,ἱεροπρεπής,-ές,adj.,comme il convient à de saintes femmes,1,
G2413,ἱερός,"-ά, -όν",adj.,"sacré, saint, consacré à dieu",2,
G2414,Ἱεροσόλυμα,,n. pr.,Jérusalem = «fondement de la paix»,62,
G2415,Ἱεροσολυμίτης,-ου,n. pr. m.,De Jérusalem,2,
G2416,ἱεροσυλέω,,vb.,commettre des sacrilèges,1,
G2417,ἱερόσυλος,-ον,adj.,voleur sacrilège,1,
G2418,ἱερουργέω,,vb.,"exercer la sacrificature, puis au temple",1,
G2419,Ἱερουσαλήμ,,n. pr.,Jérusalem = «fondement de la paix»,77,
G2420,ἱερωσύνη,-ης,n. f.,"sacrificature, puis au temple",3,
G2421,Ἰεσσαί,,n. pr. m.,Isaï = «richesse»,5,
G2422,Ἰεφθάε,,n. pr. m.,Jephté = «celui qu Dieu libère»,1,
G2423,Ἰεχονίας,-ου,n. pr. m.,Jéconias = «l’Éternel l’établira»,2,
G2424,Ἰησοῦς,"-οῦ, -οῦν",n. pr. m.,Jésus = «l’Éternel est salut»,910,2024-11-01T08:15:49.825Z
G2425,ἱκανός,"-ή, -όν",adj.,"suffisant, assez grand, assez nombreux",39,2024-11-01T08:15:49.825Z
G2426,ἱκανότης,-ητος,n. f.,"capacité, compétence, aptitude",1,
G2427,ἱκανόω,,vb.,"rendre propre, rendre capable de",2,
G2428,ἱκετηρία,-ας,n. f.,supplication,1,
G2429,ἰκμάς,-άδος,n. f.,humidité,1,
G2430,Ἰκόνιον,-ου,n. pr.,Icone = «petite image»,6,
G2431,ἱλαρός,"-ά, -όν",adj.,"joyeux, gai, prompt à agir",1,
G2432,ἱλαρότης,-ητος,n. f.,"joie, gaieté, empressement",1,
G2433,ἱλάσκομαι,,vb.,"faire propitiation, apaiser",2,
G2434,ἱλασμός,-οῦ,n. f.,propitiation,2,
G2435,ἱλαστήριος,,n. n.,propitiatoire,2,
G2436,ἵλεως,-ων,adj. / adv.,"clément, miséricordieux, indulgent, favorable, favorablement",2,
G2437,Ἰλλυρικόν,-οῦ,n. pr.,Illyrie = «la troupe lyrique»,1,
G2438,ἱμάς,-άντος,n. f.,"courroie, lanière ; fouet",4,2025-10-29T15:03:15.182Z
G2439,ἱματίζω,,vb.,"vêtir, mettre un vêtement",2,
G2440,ἱμάτιον,-ου,n. m.,"le vêtement, la chemise, l'himation",59,2025-07-28T14:44:53.456Z
G2441,ἱματισμός,-οῦ,n. f.,habillement ; robe ; vêtement,5,
G2442,ὁμείρομαι,,vb.,"être tendrement affectionné, aimer",1,
G2443,ἵνα,,conj.,"(+subj.) que, afin que",668,2025-07-28T14:44:53.456Z
G2445,Ἰόππη,-ης,n. pr. f.,"Joppé = «beau, belle»",10,
G2446,Ἰορδάνης,-ου,n. pr. m.,Jourdain = «qui descend»,15,
G2447,ἰός,-οῦ,n. f.,"rouille, venin",3,
G2448,Ἰουδά,,n. pr.,Juda = «il sera loué»,3,
G2449,Ἰουδαία,-ας,n. pr. f.,la Judée = «il sera loué»,44,2025-07-28T14:44:53.456Z
G2450,Ἰουδαΐζω,,vb.,judaïser,1,
G2451,Ἰουδαϊκός,"-ή, -όν",adj.,judaïque,1,
G2452,Ἰουδαϊκῶς,,adv.,Comme les Juifs,1,
G2453,Ἰουδαῖος,"-α, -ον ; -αία, -αῖον",adj.,le Juif,194,2025-07-28T14:44:53.456Z
G2454,Ἰουδαϊσμός,-οῦ,n. pr.,judaïsme,2,
G2455,Ἰούδας,-α,n. pr. m.,"(= «il (Dieu) sera loué»), Judas, Juda, Jude, Joda",41,2024-11-01T08:15:49.825Z
G2456,Ἰουλία,-ας,n. pr. f.,Julie = «douce chevelure»,1,
G2457,Ἰούλιος,-ου,n. pr. m.,Julius = «douce chevelure»,2,
G2458,Ἰουνιᾶς,-ᾶ,n. pr. f.,Junias = «jeune»,1,
G2459,Ἰοῦστος,-ου,n. pr. m.,Justus = «juste»,3,
G2460,ἱππεύς,-έως,n. f.,cavalier,2,
G2461,ἱππικός,,adj.,cavalerie,1,
G2462,ἵππος,-ου,n. m.,cheval,17,
G2463,ἶρις,-ιδος,n. f.,arc-en-ciel,2,
G2464,Ἰσαάκ,,n. pr. m.,"Isaac = «rire, il rit»",20,
G2465,ἰσάγγελος,-ον,adj.,"semblable aux anges, égal aux anges, pareil aux anges",1,
G2466,Ἰσαχάρ,,n. pr. m.,Issacar = «récompense»,1,
G2467,εἴδω,,vb.,"savoir, connaître",2,
G2469,Ἰσκαριώτης,,n. pr. m.,Iscariot = «homme de Karioth»,10,
G2470,ἴσος,"-η, -ον",adj.,la pareille ; égal,8,
G2471,ἰσότης,-ητος,n. f.,"ce qui est équitable, équité, égalité",3,
G2472,ἰσότιμος,-ον,adj.,"de pareil prix, également précieux",1,
G2473,ἰσόψυχος,-ον,adj.,"animé d’un même sentiment, d’un même cœur",1,
G2474,Ἰσραήλ,,n. pr.,Israël = «il sera le prince de Dieu»,68,2024-11-01T08:15:49.825Z
G2475,Ἰσραηλίτης,-ου,adj.,Israélite,9,2025-10-29T14:46:42.874Z
G2476,ἵστημι,"fut. στήσω ; fut. moy. στήσομαι ; fut. pass. σταθήσομαι ; aor. pass. ἐστάθην ; pf. ἕστηκα ; plpf. εἱστήκειν ; inf. στῆναι, ἑστάναι, σταθῆναι ; ptc. στάς, ἑστηκώς, ἑστώς, σταθείς ; impv. στῆθι ; 1aor. ἔστησα ; 2aor. ἔστην",vb.,"faire tenir debout, se tenir debout",152,2024-11-01T08:15:49.825Z
G2477,ἱστορέω,,vb.,faire la connaissance,1,2024-11-01T08:15:49.825Z
G2478,ἰσχυρός,"-ά, -όν",adj.,"fort, puissant",29,2024-11-01T08:15:49.825Z
G2479,ἰσχύς,-ύος,n. f.,"force, capacité, puissance",10,
G2480,ἰσχύω,,vb.,être fort ; être en bonne santé ; avoir le pouvoir,27,2025-07-28T14:44:53.456Z
G2481,ἴσως,,adv.,"peut-être, probablement, possiblement",1,
G2482,Ἰταλία,-ας,n. pr. f.,Italie = «comme un veau»,4,
G2483,Ἰταλικός,"-ή, -όν",adj.,"Italienne, italique, italienne, italique, nom d’une cohorte",1,
G2484,Ἰτουραΐα,"-α, -ον",n. pr.,"Iturée = «appartenant à Jethur», «qui est fermé», «défense»",1,
G2485,ἰχθύδιον,-ου,n. m.,petit poisson,2,
G2486,ἰχθύς,-ύος,n. f.,poisson,20,
G2487,ἴχνος,-ους,n. n.,"trace, pas, piste",3,
G2488,Ἰωάθαμ,,n. pr. m.,Joatham = «l’Éternel est droit»,2,
G2489,Ἰωάννα,-ας,n. pr. f.,Jeanne = «l’Éternel a été favorable»,2,
G2490,Ἰωαννᾶς,,n. pr. m.,Joanan = «grâce ou don de Dieu»,1,
G2491,Ἰωάννης,-ου,n. pr. m.,Jean = «l’Éternel a fait grâce»,135,
G2492,Ἰώβ,,n. pr. m.,"Job = «haï, persécuté»",1,
G2493,Ἰωήλ,,n. pr. m.,Joël = «celui pour qui l’Éternel est Dieu»,1,
G2494,Ἰωνάν,,n. pr. m.,Jonam = «l’Éternel donne avec grâce»,1,
G2495,Ἰωνᾶς,-ᾶ,n. pr. m.,Jonas = «colombe»,9,
G2496,Ἰωράμ,,n. pr. m.,Joram (Jehoram) = «celui que l’Éternel a élevé»,2,
G2497,Ἰωρείμ,,n. pr. m.,Jorim = «celui que l’Éternel a élevé»,1,
G2498,Ἰωσαφάτ,,n. pr. m.,Josaphat = «celui que l’Éternel juge»,2,
G2500,Ἰωσῆς,-ῆ / -ῆτος,n. pr. m.,Joseph (Joses) = «élevé»,3,
G2501,Ἰωσήφ,,n. pr. m.,Joseph = «il ajoutera»,33,2024-11-01T08:15:49.825Z
G2502,Ἰωσίας,-ου,n. pr. m.,Josias = «celui que l’Éternel guérit»,2,
G2503,ἰῶτα,,n. n.,iota,1,
G2505,καθά,,conj.,"selon ce que, juste comme",1,
G2506,καθαίρεσις,-εως,n. f.,"destruction, abattre",3,
G2507,καθαιρέω,fut. καθελῶ ; aor. καθεῖλον ; ptc. καθελών,vb.,descendre ; abattre ; détruire ; anéantir,9,
G2508,καθαίρω,,vb.,"nettoyer, enlever les impuretés, émonder, purifier",1,
G2509,καθάπερ,,conj.,"de même, comme, aussi bien, aussi",12,2024-11-01T08:15:49.825Z
G2510,καθάπτω,aor. καθῆψα,vb.,"attacher, s’accrocher",1,
G2511,καθαρίζω,fut. καθαριῶ,vb.,purifier,31,2024-11-01T08:15:49.825Z
G2512,καθαρισμός,-οῦ,n. f.,purification,7,
G2513,καθαρός,"-ά, -όν",adj.,"propre, pur",27,2024-11-01T08:15:49.825Z
G2514,καθαρότης,-ητος,n. f.,pureté du corps à la suite d’un rituel religieux,1,
G2515,καθέδρα,-ας,n. f.,"siège, chaise, chaire",3,
G2516,καθέζομαι,,vb.,"être assis, se tenir assis",7,
G2517,καθεξῆς,,adv.,par ordre ; successivement,5,
G2518,καθεύδω,,vb.,dormir,22,2024-11-01T08:15:49.825Z
G2519,καθηγητής,-οῦ,n. f.,"conducteur, guide, chef de file, enseignant",2,
G2520,καθήκω,,vb.,"convenir, être approprié, devoir",2,
G2521,κάθημαι,impv. κάθου ; 2sg. κάθῃ,vb.,"s'asseoir, être assis",89,2024-11-01T08:15:49.825Z
G2522,καθημερινός,"-ή, -όν",adj.,"journalier, de chaque jour, quotidien",1,
G2523,καθίζω,,vb.,"faire asseoir, s'assoir, rester, demeurer",45,2024-11-01T08:15:49.825Z
G2524,καθίημι,aor. καθῆκα ; pass. ptc. καθιέμενος,vb.,"descendre, envoyer en bas, dévaler",4,
G2525,καθίστημι,fut. καταστήσω ; fut. pass. κατασταθήσομαι ; aor. κατέστησα ; aor. pass. κατεστάθην,vb.,établir ; conduire ; constituer,21,
G2526,καθό,,conj.,"comme, selon, dans la mesure",4,
G2527,καθόλου,,adv.,"en aucune manière, absolument, formellement",1,
G2528,καθοπλίζω,,vb.,se revêtir de ses armes,1,
G2529,καθοράω,,vb.,"voir complètement, percevoir clairement, comprendre",1,2024-11-01T08:15:49.825Z
G2530,καθότι,,conj.,parce que,6,
G2531,καθώς,,conj.,"selon, comme",182,2024-11-01T08:15:49.825Z
G2532,καί,,conj.,"et, aussi, même, en effet, mais",9108,2024-11-01T08:15:49.825Z
G2533,Καϊάφας,-α,n. pr. m.,Caïphe = «avenant»,9,
G2535,Κάϊν,,n. pr. m.,Caïn = «artisan (littéralement forgeron)»,3,
G2536,Καϊνάν,,n. pr. m.,Kaïnam = «leur forgeron»,2,
G2537,καινός,"-ή, -όν",adj.,"nouveau, neuf",41,2024-11-01T08:15:49.825Z
G2538,καινότης,-ητος,n. f.,nouveauté,2,
G2539,καίπερ,,conj.,"quoique, bien que",5,
G2540,καιρός,-οῦ,n. f.,"le temps, la saison",85,2025-10-06T07:02:58.698Z
G2541,Καῖσαρ,-ος,n. pr.,"César = «séparé», «chef»",29,
G2542,Καισάρεια,-ας,n. pr. f.,Césarée = «appartenant à César»,17,
G2545,καίω,"fut. pass. καυθήσομαι, καυθήσωμαι ; pf. pass. κέκαυμαι",vb.,allumer ; brûler ; embraser,11,
G2548,κἀκεῖνος,"-η, -ο",dém.,"et celui-là, il",22,
G2549,κακία,-ας,n. f.,malice ; méchanceté ; peine,11,
G2550,κακοήθεια,-ας,n. f.,"mauvaises mœurs, dépravation",1,
G2551,κακολογέω,,vb.,mal parler ; médire,4,
G2552,κακοπάθεια,,n. f.,"souffrance, difficulté, affliction",1,
G2553,κακοπαθέω,,vb.,prendre la part de souffrances ; maltraiter,3,
G2554,κακοποιέω,,vb.,faire du mal,4,
G2555,κακοποιός,-οῦ,n. f.,"celui qui fait le mal, malfaiteur",3,
G2556,κακός,"-ή, -όν",adj.,"méchant, mal, mauvais",50,2024-11-01T08:15:49.825Z
G2557,κακοῦργος,-ου,adj.,"celui qui commet des méfaits, criminel",4,
G2558,κακουχέω,,vb.,"maltraiter, opprimer, tourmenter",2,
G2559,κακόω,,vb.,maltraiter ; irriter,6,
G2560,κακῶς,,adv.,mal ; cruellement ; misérablement,16,
G2561,κάκωσις,-εως,n. f.,"oppression, mauvais traitement, misère",1,
G2562,καλάμη,-ης,n. f.,"chaume, paille",1,
G2563,κάλαμος,-ου,n. m.,"roseau, plume",12,2024-11-01T08:15:49.825Z
G2564,καλέω,fut. pass. κληθήσομαι ; aor. pass. ἐκλήθην ; pf. κέκληκα,vb.,appeler,148,2024-11-01T08:15:49.825Z
G2565,καλλιέλαιος,-ου,n. f.,"olivier franc, olivier cultivé",1,
G2566,καλλίον,,adv.,"très bien, parfaitement",1,
G2567,καλοδιδάσκαλος,-ον,adj.,qui enseigne de bonnes choses,1,
G2569,καλοποιέω,,vb.,faire le bien,1,
G2570,καλός,"-ή, -όν",adj.,"bon, beau",101,2024-11-01T08:15:49.825Z
G2571,κάλυμμα,-τος,n. n.,"voile, couverture",4,
G2572,καλύπτω,,vb.,couvrir,8,
G2573,καλῶς,,adv.,bien,36,2024-11-01T08:15:49.825Z
G2574,κάμηλος,-ου,n. m.,chameau,6,
G2575,κάμινος,-ου,n. m.,fournaise,4,
G2576,καμμύω,,vb.,"fermer, boucher",2,
G2577,κάμνω,aor. subj. 2pl. κάμητε,vb.,"être lassé, se fatiguer, se laisser accabler, être malade",2,
G2578,κάμπτω,,vb.,"fléchir, plier, courber, ployer",4,
G2580,Κανᾶ,,n. pr.,Cana = «l’endroit des roseaux»,4,
G2581,Κανανίτης,,n. pr. m.,Cananite = «zélé»,2,
G2582,Κανδάκη,-ης,n. pr.,Candace = «qui possède»,1,
G2583,κανών,-όνος,n. f.,règle,4,
G2584,Καπερναούμ,,n. pr.,"Capernaüm = «village de Nahum, de la consolation»",16,
G2585,καπηλεύω,,vb.,"frelater, falsifier",1,
G2586,καπνός,-οῦ,n. f.,fumée,13,
G2587,Καππαδοκία,-ας,n. pr. f.,Cappadoce = «province des bons chevaux»,2,
G2588,καρδία,-ας,n. f.,le cœur,155,2024-11-01T08:15:49.825Z
G2589,καρδιογνώστης,-ου,n. m.,"celui qui connaît les cœurs, qui comprend",2,
G2590,καρπός,-οῦ,n. f.,le fruit,66,2025-10-06T07:07:41.128Z
G2591,Κάρπος,-ου,n. pr. m.,Carpus = «le fruit»,1,
G2592,καρποφορέω,,vb.,"porter, produire du fruit, donner des résultats, produire un effet",8,
G2593,καρποφόρος,-ον,adj.,"fertile, fructueux, productif",1,
G2594,καρτερέω,,vb.,"demeurer ferme, rester ferme, demeurer patient",1,
G2595,κάρφος,-ους,n. n.,"fétu, brin de paille",6,
G2596,κατά,,prép.,"(+A) selon, conformément à, comme, dans, vers, près de, du côté de, le long de, à travers, au temps de, pendant, pour, en vue de, par, en raison de, du fait de ; (+G) contre, en bas de, dans, d'un bout à l'autre de, par, sur",472,2024-11-01T08:15:49.825Z
G2597,καταβαίνω,"fut. καταβήσομαι ; aor. κατέβην ; pf. καταβέβηκα ; inf. καταβῆναι ; ptc. καταβάς ; impv. κατάβηθι, κατάβα",vb.,descendre,79,2024-11-01T08:15:49.825Z
G2598,καταβάλλω,,vb.,"poser, établir, précipiter, être très abattu",2,
G2599,καταβαρέω,,vb.,"appesantir, surcharger",1,
G2600,κατάβασις,-εως,n. f.,descente,1,
G2602,καταβολή,-ῆς,n. f.,"fondation, création, commencement",11,
G2603,καταβραβεύω,,vb.,"frustrer du prix, disqualifier",1,
G2604,καταγγελεύς,-έως,n. f.,"celui qui annonce, prédicateur",1,
G2605,καταγγέλλω,aor. κατήγγειλα ; aor. pass. κατηγγέλην,vb.,"annoncer, déclarer, prêcher, publier",18,
G2606,καταγελάω,impf. κατεγέλων,vb.,"se rire de, se moquer de",3,
G2607,καταγινώσκω,pf. pass. κατέγνωσμαι,vb.,"condamner, blâmer, réprimander",3,
G2608,κατάγνυμι,fut. κατεάξω ; aor. κατέαξα ; aor. pass. κατεάγην ; subj. 3pl. κατεαγῶσιν,vb.,"briser, rompre, craquer, mettre en pièces",4,
G2609,κατάγω,aor. κατήγαγον ; aor. pass. κατήχθην ; inf. καταγαγεῖν ; ptc. καταχθείς,vb.,faire descendre ; aborder ; mener,9,
G2610,καταγωνίζομαι,,vb.,"subjuguer, vaincre, conquérir",1,
G2611,καταδέω,,vb.,"mettre un bandage, panser",1,
G2612,κατάδηλος,-ον,adj.,"évident, très manifeste",1,
G2613,καταδικάζω,,vb.,"condamner, exercer la justice, prononcer un jugement",5,
G2614,καταδιώκω,,vb.,"suivre, poursuivre",1,
G2615,καταδουλόω,,vb.,"asservir, rendre entièrement serviteur",2,
G2616,καταδυναστεύω,,vb.,"asservir à sa puissance, opprimer, tyranniser",2,
G2617,καταισχύνω,,vb.,couvrir de honte ; déshonorer ; rendre honteux ; être confus,13,
G2618,κατακαίω,"fut. κατακαύσω ; fut. pass. κατακαήσομαι, κατακαυθήσομαι ; aor. pass. κατεκάην ; aor. inf. κατακαῦσαι",vb.,"brûler entièrement, consumer complètement",11,
G2619,κατακαλύπτω,,vb.,"couvrir, se voiler",3,
G2620,κατακαυχάομαι,impv. 2sg. κατακαυχῶ,vb.,"se glorifier, se vanter, s’enorgueillir grandement",4,
G2621,κατάκειμαι,,vb.,être assis à table ; être couché,12,
G2622,κατακλάω,,vb.,"rompre, diviser",2,
G2623,κατακλείω,,vb.,"enfermer, confiner",2,
G2624,κατακληροδοτέω,,vb.,"donner en héritage, distribuer en héritage",1,
G2625,κατακλίνω,aor. pass. κατεκλίθην,vb.,"faire asseoir (à table), être à table, se reposer",5,2024-11-01T08:15:49.825Z
G2626,κατακλύζω,,vb.,submerger,1,
G2627,κατακλυσμός,-οῦ,n. f.,déluge,4,
G2628,κατακολουθέω,,vb.,"accompagner, suivre de près",2,
G2629,κατακόπτω,,vb.,"meurtrir, couper, blesser",1,
G2630,κατακρημνίζω,,vb.,précipiter,1,
G2631,κατάκριμα,-τος,n. n.,condamnation,3,
G2632,κατακρίνω,aor. pass. κατεκρίθην,vb.,"condamner, prononcer une sentence, juger",16,
G2633,κατάκρισις,-εως,n. f.,condamnation,2,
G2634,κατακυριεύω,,vb.,"dominer, maîtriser",4,
